ที่ทำการ,รหัสไปรษณีย์,ตำแหน่ง,เบอร์โทรศัพท์,สังกัด
ปณภ.ศูนย์ศิลปาชีพบางไทร,13290,CEC,088-987-8496,ปข.1
ศป.พระนครศรีอยุธยา,13010,CEC,088-987-8497,ปข.1
ปจ.อ่างทอง,14000,CEC,088-987-8502,ปข.1
ปจ.อ่างทอง,14000,CEC,088-987-8503,ปข.1
ปณภ.โพธิ์ทอง,14120,CEC,088-987-8504,ปข.1
ปณภ.วิเศษชัยชาญ,14110,CEC,088-987-8506,ปข.1
ปณภ.ป่าโมก,14130,CEC,088-987-8507,ปข.1
ปณภ.แสวงหา,14150,CEC,088-987-8508,ปข.1
ปณภ.สามโก้,14160,CEC,088-987-8509,ปข.1
ปณภ.ไชโย,14140,CEC,088-987-8510,ปข.1
ปจ.ลพบุรี,15000,CEC,088-987-8511,ปข.1
ปจ.ลพบุรี,15000,CEC,088-987-8512,ปข.1
ปณภ.ลำนารายณ์,15130,CEC,088-987-8513,ปข.1
ปณภ.ดีลัง,15220,CEC,088-987-8514,ปข.1
ปณภ.บ้านหมี่,15110,CEC,088-987-8515,ปข.1
ปณภ.พัฒนานิคม,15140,CEC,088-987-8516,ปข.1
ปณภ.โคกตูม,15210,CEC,088-987-8517,ปข.1
ปณภ.โคกกะเทียม,15160,CEC,088-987-8518,ปข.1
ปณภ.ท่าหลวง,15230,CEC,088-987-8519,ปข.1
ปณภ.ท่าวุ้ง,15150,CEC,088-987-8520,ปข.1
ปณภ.โคกสำโรง,15120,CEC,088-987-8522,ปข.1
ปณภ.หนองม่วง,15170,CEC,088-987-8523,ปข.1
ปณภ.ลำสนธิ,15190,CEC,088-987-8524,ปข.1
ปณภ.สระโบสถ์,15240,CEC,088-987-8525,ปข.1
ปณภ.ท่าโขลง,15180,CEC,088-987-8526,ปข.1
ปณภ.โคกเจริญ,15250,CEC,088-987-8527,ปข.1
ปจ.สิงห์บุรี,16000,CEC,088-987-8528,ปข.1
ปจ.สิงห์บุรี,16000,CEC,088-987-8529,ปข.1
ปณภ.อินทร์บุรี,16110,CEC,088-987-8533,ปข.1
ปณภ.บางระจัน,16130,CEC,088-987-8534,ปข.1
ปณภ.พรหมบุรี,16120,CEC,088-987-8535,ปข.1
ปณภ.ท่าช้าง,16140,CEC,088-987-8536,ปข.1
ปณภ.ปากบาง,16160,CEC,088-987-8537,ปข.1
ปณภ.ค่ายบางระจัน,16150,CEC,088-987-8538,ปข.1
ปจ.ชัยนาท,17000,CEC,088-987-8539,ปข.1
ปจ.ชัยนาท,17000,CEC,088-987-8540,ปข.1
ปณภ.หันคา,17130,CEC,088-987-8541,ปข.1
ปณภ.วัดสิงห์,17120,CEC,088-987-8543,ปข.1
ปณภ.สรรคบุรี,17140,CEC,088-987-8544,ปข.1
ปณภ.มโนรมย์,17110,CEC,088-987-8545,ปข.1
ปณภ.สรรพยา,17150,CEC,088-987-8546,ปข.1
ปณภ.ห้วยงู,17160,CEC,088-987-8547,ปข.1
ปณภ.หางน้ำสาคร,17170,CEC,088-987-8548,ปข.1
ปจ.สระบุรี,18000,CEC,088-987-8549,ปข.1
ปจ.สระบุรี,18000,CEC,088-987-8552,ปข.1
ปณภ.ท่าลาน,18270,CEC,088-987-8553,ปข.1
ปณภ.วิหารแดง,18150,CEC,088-987-8554,ปข.1
ปณภ.เสาไห้,18160,CEC,088-987-8559,ปข.1
ปณภ.หินกอง,18230,CEC,088-987-8560,ปข.1
ปณภ.วังม่วง,18220,CEC,088-987-8561,ปข.1
ปณภ.พุแค,18240,CEC,088-987-8562,ปข.1
ปณภ.มวกเหล็ก,18180,CEC,088-987-8563,ปข.1
ปณภ.พระพุทธบาท,18120,CEC,088-987-8567,ปข.1
ปณภ.แก่งคอย,18110,CEC,088-987-8568,ปข.1
ปณภ.หนองแค,18140,CEC,088-987-8569,ปข.1
ปณภ.หนองโดน,18190,CEC,088-987-8570,ปข.1
ปณภ.บ้านหมอ,18130,CEC,088-987-8571,ปข.1
ปณภ.คชสิทธิ์,18250,CEC,088-987-8572,ปข.1
ปณภ.หนองแซง,18170,CEC,088-987-8573,ปข.1
ปณภ.ทับกวาง,18260,CEC,088-987-8575,ปข.1
ปณภ.ดอนพุด,18210,CEC,088-987-8576,ปข.1
ปข.1 ส่วนควบคุมคุณภาพและดูแลลูกค้า,13000,CEC,088-987-8579,ปข.1
ปจ.ชลบุรี,20000,CEC,088-987-8580,ปข.2
ปจ.ชลบุรี,20000,CEC,088-987-8581,ปข.2
ศป.ศรีราชา,20010,CEC,088-987-8594,ปข.2
ปณภ.ศรีราชา,20110,CEC,088-987-8595,ปข.2
ปณภ.ศรีราชา,20110,CEC,088-987-8600,ปข.2
ปณภ.เกาะสีชัง,20120,CEC,088-987-8601,ปข.2
ปณภ.บางแสน,20130,CEC,088-987-8602,ปข.2
ปณภ.พนัสนิคม,20140,CEC,088-987-8603,ปข.2
ปณภ.บางละมุง,20150,CEC,088-987-8604,ปข.2
ปณภ.บางละมุง,20150,CEC,088-987-8605,ปข.2
ปณภ.พานทอง,20160,CEC,088-987-8607,ปข.2
ปณภ.บ้านบึง,20170,CEC,088-987-8608,ปข.2
ปณภ.สัตหีบ,20180,CEC,088-987-8609,ปข.2
ปณภ.หนองใหญ่,20190,CEC,088-987-8610,ปข.2
ปณภ.หัวกุญแจ,20220,CEC,088-987-8611,ปข.2
ปณภ.อ่าวอุดม,20230,CEC,088-987-8612,ปข.2
ปณภ.อ่าวอุดม,20230,CEC,088-987-8613,ปข.2
ปณภ.ท่าบุญมี,20240,CEC,088-987-8616,ปข.2
ปณภ.บ้านอำเภอ,20250,CEC,088-987-8617,ปข.2
ปณภ.บ่อทอง,20270,CEC,088-987-8618,ปข.2
ปจ.ระยอง,21000,CEC,088-987-8619,ปข.2
ปจ.ระยอง,21000,CEC,088-987-8625,ปข.2
ปณภ.กะเฉด,21100,CEC,088-987-8626,ปข.2
ปณภ.แกลง,21110,CEC,088-987-8627,ปข.2
ปณภ.บ้านค่าย,21120,CEC,088-987-8628,ปข.2
ปณภ.บ้านฉาง,21130,CEC,088-987-8633,ปข.2
ปณภ.ปลวกแดง,21140,CEC,088-987-8634,ปข.2
ปณภ.มาบตาพุด,21150,CEC,088-987-8635,ปข.2
ปณภ.เพ,21160,CEC,088-987-8636,ปข.2
ปณภ.ปากน้ำประแสร์,21170,CEC,088-987-8637,ปข.2
ปณภ.นิคมพัฒนา,21180,CEC,088-987-8638,ปข.2
ปณภ.กร่ำ,21190,CEC,088-987-8639,ปข.2
ปณภ.วังจันทร์,21210,CEC,088-987-8640,ปข.2
ปจ.จันทบุรี,22000,CEC,088-987-8642,ปข.2
ปจ.จันทบุรี,22000,CEC,088-987-8643,ปข.2
ปณภ.ขลุง,22110,CEC,088-987-8647,ปข.2
ปณภ.ท่าใหม่,22120,CEC,088-987-8648,ปข.2
ปณภ.แหลมสิงห์,22130,CEC,088-987-8649,ปข.2
ปณภ.โป่งน้ำร้อน,22140,CEC,088-987-8650,ปข.2
ปณภ.มะขาม,22150,CEC,088-987-8654,ปข.2
ปณภ.นายายอาม,22160,CEC,088-987-8655,ปข.2
ปณภ.ทุ่งเบญจา,22170,CEC,088-987-8656,ปข.2
ปณภ.สอยดาว,22180,CEC,088-987-8657,ปข.2
ปณภ.พลิ้ว,22190,CEC,088-987-8658,ปข.2
ปณภ.เขาคิชฌกูฏ,22210,CEC,088-987-8663,ปข.2
ปจ.ตราด,23000,CEC,088-987-8664,ปข.2
ปจ.ตราด,23000,CEC,088-987-8665,ปข.2
ปณภ.คลองใหญ่,23110,CEC,088-987-8670,ปข.2
ปณภ.แหลมงอบ,23120,CEC,088-987-8671,ปข.2
ปณภ.เขาสมิง,23130,CEC,088-987-8674,ปข.2
ปณภ.บ่อไร่,23140,CEC,088-987-8675,ปข.2
ปณภ.แสนตุ้ง,23150,CEC,088-987-8678,ปข.2
ปณภ.เกาะช้าง,23170,CEC,088-987-8679,ปข.2
ปจ.ฉะเชิงเทรา,24000,CEC,088-987-8680,ปข.2
ปจ.ฉะเชิงเทรา,24000,CEC,088-987-8681,ปข.2
ปณภ.บางคล้า,24110,CEC,088-987-8682,ปข.2
ปณภ.พนมสารคาม,24120,CEC,088-987-8683,ปข.2
ปณภ.บางปะกง,24130,CEC,088-987-8684,ปข.2
ปณภ.บ้านโพธิ์,24140,CEC,088-987-8692,ปข.2
ปณภ.บางน้ำเปรี้ยว,24150,CEC,088-987-8693,ปข.2
ปณภ.สนามชัยเขต,24160,CEC,088-987-8694,ปข.2
ปณภ.ดอนฉิมพลี,24170,CEC,088-987-8697,ปข.2
ปณภ.แปลงยาว,24190,CEC,088-987-8698,ปข.2
ปจ.ปราจีนบุรี,25000,CEC,088-987-8705,ปข.2
ปจ.ปราจีนบุรี,25000,CEC,088-987-8706,ปข.2
ศป.กบินทร์บุรี,25010,CEC,088-987-8707,ปข.2
ปณภ.กบินทร์บุรี,25110,CEC,088-987-8708,ปข.2
ปณภ.ประจันตคาม,25130,CEC,088-987-8710,ปข.2
ปณภ.ศรีมหาโพธิ,25140,CEC,088-987-8711,ปข.2
ปณภ.บ้านสร้าง,25150,CEC,088-987-8712,ปข.2
ปณภ.ศรีมโหสถ,25190,CEC,088-987-8713,ปข.2
ปณภ.นาดี,25220,CEC,088-987-8714,ปข.2
ปณภ.บ้านพระ,25230,CEC,088-987-8715,ปข.2
ปณภ.กบินทร์เก่า,25240,CEC,088-987-8716,ปข.2
ปจ.นครนายก,26000,CEC,088-987-8717,ปข.2
ปจ.นครนายก,26000,CEC,088-987-8718,ปข.2
ปณภ.บ้านนา,26110,CEC,088-987-8719,ปข.2
ปณภ.องครักษ์,26120,CEC,088-987-8721,ปข.2
ปณภ.ปากพลี,26130,CEC,088-987-8722,ปข.2
ปจ.สระแก้ว,27000,CEC,088-987-8723,ปข.2
ปจ.สระแก้ว,27000,CEC,088-987-8724,ปข.2
ปณภ.อรัญประเทศ,27120,CEC,088-987-8725,ปข.2
ปณภ.วัฒนานคร,27160,CEC,088-987-8727,ปข.2
ปณภ.ตาพระยา,27180,CEC,088-987-8728,ปข.2
ปณภ.วังน้ำเย็น,27210,CEC,088-987-8729,ปข.2
ปณภ.วังสมบูรณ์,27250,CEC,088-987-8730,ปข.2
ปณภ.คลองหาด,27260,CEC,088-987-8731,ปข.2
ปข.2 ส่วนควบคุมคุณภาพและดูแลลูกค้า,20000,CEC,088-987-8733,ปข.2
ปจ.นครราชสีมา,30000,CEC,088-987-8734,ปข.3
ปจ.นครราชสีมา,30000,CEC,088-987-8735,ปข.3
ศป.นครราชสีมา,30010,CEC,088-987-8736,ปข.3
ปณภ.พิมาย,30110,CEC,088-987-8737,ปข.3
ปณภ.บัวใหญ่,30120,CEC,088-987-8738,ปข.3
ปณภ.ปากช่อง,30130,CEC,088-987-8740,ปข.3
ปณภ.สีคิ้ว,30140,CEC,088-987-8741,ปข.3
ปณภ.ปักธงชัย,30150,CEC,088-987-8744,ปข.3
ปณภ.โนนสูง,30160,CEC,088-987-8745,ปข.3
ปณภ.สูงเนิน,30170,CEC,088-987-8749,ปข.3
ปณภ.ประทาย,30180,CEC,088-987-8750,ปข.3
ปณภ.โชคชัย,30190,CEC,088-987-8751,ปข.3
ปณภ.ด่านขุนทด,30210,CEC,088-987-8752,ปข.3
ปณภ.โนนไทย,30220,CEC,088-987-8753,ปข.3
ปณภ.จักราช,30230,CEC,088-987-8754,ปข.3
ปณภ.ห้วยแถลง,30240,CEC,088-987-8755,ปข.3
ปณภ.ครบุรี,30250,CEC,088-987-8756,ปข.3
ปณภ.คง,30260,CEC,088-987-8757,ปข.3
ปณภ.ชุมพวง,30270,CEC,088-987-8758,ปข.3
ปณภ.ขามทะเลสอ,30280,CEC,088-987-8759,ปข.3
ปณภ.ขามสะแกแสง,30290,CEC,088-987-8763,ปข.3
ปณภ.กลางดง,30320,CEC,088-987-8764,ปข.3
ปณภ.เสิงสาง,30330,CEC,088-987-8765,ปข.3
ปณภ.คลองไผ่,30340,CEC,088-987-8767,ปข.3
ปณภ.บ้านเหลื่อม,30350,CEC,088-987-8768,ปข.3
ปณภ.โนนแดง,30360,CEC,088-987-8769,ปข.3
ปณภ.วังน้ำเขียว,30370,CEC,088-987-8770,ปข.3
ปณภ.กุดจิก,30380,CEC,088-987-8772,ปข.3
ปณภ.หนองบุญมาก,30410,CEC,088-987-8773,ปข.3
ปณภ.ตลาดแค,30420,CEC,088-987-8774,ปข.3
ปณภ.สีดา,30430,CEC,088-987-8775,ปข.3
ปณภ.แก้งสนามนาง,30440,CEC,088-987-8776,ปข.3
ปณภ.เขาใหญ่,30450,CEC,088-987-8783,ปข.3
ปจ.บุรีรัมย์,31000,CEC,088-987-8784,ปข.3
ปจ.บุรีรัมย์,31000,CEC,088-987-8785,ปข.3
ปณภ.นางรอง,31110,CEC,088-987-8786,ปข.3
ปณภ.พุทไธสง,31120,CEC,088-987-8794,ปข.3
ปณภ.ลำปลายมาศ,31130,CEC,088-987-8795,ปข.3
ปณภ.ประโคนชัย,31140,CEC,088-987-8796,ปข.3
ปณภ.สตึก,31150,CEC,088-987-8813,ปข.3
ปณภ.กระสัง,31160,CEC,088-987-8814,ปข.3
ปณภ.ละหานทราย,31170,CEC,088-987-8815,ปข.3
ปณภ.บ้านกรวด,31180,CEC,088-987-8816,ปข.3
ปณภ.คูเมือง,31190,CEC,088-987-8820,ปข.3
ปณภ.หนองกี่,31210,CEC,088-987-8821,ปข.3
ปณภ.ปะคำ,31220,CEC,088-987-8823,ปข.3
ปณภ.นาโพธิ์,31230,CEC,088-987-8824,ปข.3
ปณภ.หนองหงส์,31240,CEC,088-987-8825,ปข.3
ปณภ.บ้านพลับพลา,31250,CEC,088-987-8826,ปข.3
ปณภ.โนนดินแดง,31260,CEC,088-987-8827,ปข.3
ปจ.สุรินทร์,32000,CEC,088-987-8828,ปข.3
ปจ.สุรินทร์,32000,CEC,088-987-8829,ปข.3
ปณภ.ศีขรภูมิ,32110,CEC,088-987-8830,ปข.3
ปณภ.ท่าตูม,32120,CEC,088-987-8835,ปข.3
ปณภ.รัตนบุรี,32130,CEC,088-987-8836,ปข.3
ปณภ.ปราสาท,32140,CEC,088-987-8837,ปข.3
ปณภ.สังขะ,32150,CEC,088-987-8839,ปข.3
ปณภ.สนม,32160,CEC,088-987-8840,ปข.3
ปณภ.สำโรงทาบ,32170,CEC,088-987-8841,ปข.3
ปณภ.จอมพระ,32180,CEC,088-987-8846,ปข.3
ปณภ.ชุมพลบุรี,32190,CEC,088-987-8847,ปข.3
ปณภ.กาบเชิง,32210,CEC,088-987-8849,ปข.3
ปณภ.ลำดวน,32220,CEC,088-987-8850,ปข.3
ปณภ.บัวเชด,32230,CEC,088-987-8851,ปข.3
ปจ.ชัยภูมิ,36000,CEC,088-987-8852,ปข.3
ปจ.ชัยภูมิ,36000,CEC,088-987-8853,ปข.3
ปณภ.ภูเขียว,36110,CEC,088-987-8854,ปข.3
ปณภ.เกษตรสมบูรณ์,36120,CEC,088-987-8856,ปข.3
ปณภ.จัตุรัส,36130,CEC,088-987-8857,ปข.3
ปณภ.คอนสวรรค์,36140,CEC,088-987-8862,ปข.3
ปณภ.แก้งคร้อ,36150,CEC,088-987-8863,ปข.3
ปณภ.บำเหน็จณรงค์,36160,CEC,088-987-8864,ปข.3
ปณภ.บ้านเขว้า,36170,CEC,088-987-8865,ปข.3
ปณภ.คอนสาร,36180,CEC,088-987-8868,ปข.3
ปณภ.บ้านแท่น,36190,CEC,088-987-8869,ปข.3
ปณภ.หนองบัวแดง,36210,CEC,088-987-8870,ปข.3
ปณภ.หนองบัวโคก,36220,CEC,088-987-8871,ปข.3
ปณภ.เทพสถิต,36230,CEC,088-987-8872,ปข.3
ปณภ.หมื่นแผ้ว,36240,CEC,088-987-8873,ปข.3
ปณภ.หนองบัวระเหว,36250,CEC,088-987-8874,ปข.3
ปณภ.ภักดีชุมพล,36260,CEC,088-987-8875,ปข.3
ปจ.ร้อยเอ็ด,45000,CEC,088-987-8876,ปข.3
ปจ.ร้อยเอ็ด,45000,CEC,088-987-8890,ปข.3
ปณภ.โพนทอง,45110,CEC,088-987-8891,ปข.3
ปณภ.เสลภูมิ,45120,CEC,088-987-8902,ปข.3
ปณภ.สุวรรณภูมิ,45130,CEC,088-987-8903,ปข.3
ปณภ.พนมไพร,45140,CEC,088-987-8911,ปข.3
ปณภ.เกษตรวิสัย,45150,CEC,088-987-8912,ปข.3
ปณภ.อาจสามารถ,45160,CEC,088-987-8921,ปข.3
ปณภ.ธวัชบุรี,45170,CEC,088-987-8922,ปข.3
ปณภ.จตุรพักตรพิมาน,45180,CEC,088-987-8923,ปข.3
ปณภ.ปทุมรัตต์,45190,CEC,088-987-8924,ปข.3
ปณภ.หนองพอก,45210,CEC,088-987-8925,ปข.3
ปณภ.เมืองสรวง,45220,CEC,088-987-8927,ปข.3
ปณภ.โพธิ์ชัย,45230,CEC,088-987-8928,ปข.3
ปณภ.โพนทราย,45240,CEC,088-987-8929,ปข.3
ปณภ.เมยวดี,45250,CEC,088-987-8930,ปข.3
ปณภ.โสกเชือก,45280,CEC,088-987-8931,ปข.3
ปข.3 ส่วนควบคุมคุณภาพและดูแลลูกค้า,30000,CEC,088-987-8933,ปข.3
ปจ.บึงกาฬ,38000,CEC,088-987-8934,ปข.4
ปจ.บึงกาฬ,38000,CEC,088-987-8935,ปข.4
ปณภ.เซกา,38150,CEC,088-987-8936,ปข.4
ปณภ.โซ่พิสัย,38170,CEC,088-987-8937,ปข.4
ปณภ.พรเจริญ,38180,CEC,088-987-8938,ปข.4
ปณภ.ปากคาด,38190,CEC,088-987-8939,ปข.4
ปณภ.ศรีวิไล,38210,CEC,088-987-8940,ปข.4
ปณภ.บึงโขงหลง,38220,CEC,088-987-8941,ปข.4
ปจ.หนองบัวลำภู,39000,CEC,088-987-8942,ปข.4
ปจ.หนองบัวลำภู,39000,CEC,088-987-8943,ปข.4
ปณภ.โนนสัง,39140,CEC,088-987-8944,ปข.4
ปณภ.นากลาง,39170,CEC,088-987-8946,ปข.4
ปณภ.ศรีบุญเรือง,39180,CEC,088-987-8947,ปข.4
ปณภ.สุวรรณคูหา,39270,CEC,088-987-8949,ปข.4
ปณภ.กุดดินจี่,39350,CEC,088-987-8950,ปข.4
ปจ.ขอนแก่น,40000,CEC,088-987-8953,ปข.4
ปจ.ขอนแก่น,40000,CEC,088-987-8954,ปข.4
ศป.ขอนแก่น,40010,CEC,088-987-8955,ปข.4
ปณภ.บ้านไผ่,40110,CEC,088-987-8956,ปข.4
ปณภ.พล,40120,CEC,088-987-8957,ปข.4
ปณภ.ชุมแพ,40130,CEC,088-987-8960,ปข.4
ปณภ.น้ำพอง,40140,CEC,088-987-8961,ปข.4
ปณภ.ภูเวียง,40150,CEC,088-987-8965,ปข.4
ปณภ.มัญจาคีรี,40160,CEC,088-987-8966,ปข.4
ปณภ.กระนวน,40170,CEC,088-987-8967,ปข.4
ปณภ.ชนบท,40180,CEC,088-987-8969,ปข.4
ปณภ.หนองสองห้อง,40190,CEC,088-987-8970,ปข.4
ปณภ.หนองเรือ,40210,CEC,088-987-8971,ปข.4
ปณภ.สีชมพู,40220,CEC,088-987-8972,ปข.4
ปณภ.แวงน้อย,40230,CEC,088-987-8975,ปข.4
ปณภ.ดอนโมง,40240,CEC,088-987-8976,ปข.4
ปณภ.อุบลรัตน์,40250,CEC,088-987-8980,ปข.4
ปณภ.ท่าพระขอนแก่น,40260,CEC,088-987-8981,ปข.4
ปณภ.บ้านฝาง,40270,CEC,088-987-8982,ปข.4
ปณภ.เขาสวนกวาง,40280,CEC,088-987-8984,ปข.4
ปณภ.โนนหัน,40290,CEC,088-987-8985,ปข.4
ปณภ.น้ำพองเก่า,40310,CEC,088-987-8986,ปข.4
ปณภ.พระยืน,40320,CEC,088-987-8995,ปข.4
ปณภ.แวงใหญ่,40330,CEC,088-987-8996,ปข.4
ปณภ.เปือยน้อย,40340,CEC,088-987-8997,ปข.4
ปณภ.ภูผาม่าน,40350,CEC,088-987-9001,ปข.4
ปจ.อุดรธานี,41000,CEC,088-987-9002,ปข.4
ปจ.อุดรธานี,41000,CEC,088-987-9010,ปข.4
ศป.อุดรธานี,41010,CEC,088-987-9011,ปข.4
ปณภ.กุมภวาปี,41110,CEC,088-987-9012,ปข.4
ปณภ.หนองหาน,41130,CEC,088-987-9013,ปข.4
ปณภ.เพ็ญ,41150,CEC,088-987-9014,ปข.4
ปณภ.บ้านผือ,41160,CEC,088-987-9015,ปข.4
ปณภ.บ้านดุง,41190,CEC,088-987-9017,ปข.4
ปณภ.น้ำโสม,41210,CEC,088-987-9018,ปข.4
ปณภ.หนองวัวซอ,41220,CEC,088-987-9019,ปข.4
ปณภ.ศรีธาตุ,41230,CEC,088-987-9020,ปข.4
ปณภ.โนนสะอาด,41240,CEC,088-987-9021,ปข.4
ปณภ.กุดจับ,41250,CEC,088-987-9022,ปข.4
ปณภ.สร้างคอม,41260,CEC,088-987-9023,ปข.4
ปณภ.วังสามหมอ,41280,CEC,088-987-9027,ปข.4
ปณภ.ไชยวาน,41290,CEC,088-987-9028,ปข.4
ปณภ.ทุ่งฝน,41310,CEC,088-987-9029,ปข.4
ปณภ.บ้านเชียง,41320,CEC,088-987-9030,ปข.4
ปณภ.บ้านชัยพร,41330,CEC,088-987-9032,ปข.4
ปณภ.หนองแสง,41340,CEC,088-987-9033,ปข.4
ปณภ.หมากหญ้า,41360,CEC,088-987-9034,ปข.4
ปณภ.พันดอน,41370,CEC,088-987-9035,ปข.4
ปณภ.นายูง,41380,CEC,088-987-9036,ปข.4
ปจ.เลย,42000,CEC,088-987-9037,ปข.4
ปจ.เลย,42000,CEC,088-987-9038,ปข.4
ปณภ.นาอ้อ,42100,CEC,088-987-9039,ปข.4
ปณภ.เชียงคาน,42110,CEC,088-987-9041,ปข.4
ปณภ.ด่านซ้าย,42120,CEC,088-987-9042,ปข.4
ปณภ.วังสะพุง,42130,CEC,088-987-9043,ปข.4
ปณภ.ท่าลี่,42140,CEC,088-987-9045,ปข.4
ปณภ.ปากชม,42150,CEC,088-987-9046,ปข.4
ปณภ.ภูเรือ,42160,CEC,088-987-9047,ปข.4
ปณภ.นาแห้ว,42170,CEC,088-987-9049,ปข.4
ปณภ.ภูกระดึง,42180,CEC,088-987-9050,ปข.4
ปณภ.หนองหิน,42190,CEC,088-987-9051,ปข.4
ปณภ.นาด้วง,42210,CEC,088-987-9052,ปข.4
ปณภ.เอราวัณ,42220,CEC,088-987-9053,ปข.4
ปณภ.ภูหลวง,42230,CEC,088-987-9054,ปข.4
ปณภ.ผาขาว,42240,CEC,088-987-9056,ปข.4
ปจ.หนองคาย,43000,CEC,088-987-9057,ปข.4
ปจ.หนองคาย,43000,CEC,088-987-9061,ปข.4
ปณภ.ค่ายบกหวาน,43100,CEC,088-987-9062,ปข.4
ปณภ.ท่าบ่อ,43110,CEC,088-987-9063,ปข.4
ปณภ.โพนพิสัย,43120,CEC,088-987-9068,ปข.4
ปณภ.ศรีเชียงใหม่,43130,CEC,088-987-9069,ปข.4
ปณภ.สังคม,43160,CEC,088-987-9161,ปข.4
ปณภ.เฝ้าไร่,43230,CEC,088-987-9162,ปข.4
ปจ.มหาสารคาม,44000,CEC,088-987-9166,ปข.4
ปจ.มหาสารคาม,44000,CEC,088-987-9167,ปข.4
ปณภ.พยัคฆภูมิพิสัย,44110,CEC,088-987-9172,ปข.4
ปณภ.วาปีปทุม,44120,CEC,088-987-9173,ปข.4
ปณภ.บรบือ,44130,CEC,088-987-9176,ปข.4
ปณภ.โกสุมพิสัย,44140,CEC,088-987-9177,ปข.4
ปณภ.กันทรวิชัย,44150,CEC,088-987-9178,ปข.4
ปณภ.เชียงยืน,44160,CEC,088-987-9179,ปข.4
ปณภ.นาเชือก,44170,CEC,088-987-9180,ปข.4
ปณภ.นาดูน,44180,CEC,088-987-9181,ปข.4
ปณภ.แกดำ,44190,CEC,088-987-9182,ปข.4
ปณภ.ยางสีสุราช,44210,CEC,088-987-9183,ปข.4
ปจ.กาฬสินธุ์,46000,CEC,088-987-9185,ปข.4
ปจ.กาฬสินธุ์,46000,CEC,088-987-9186,ปข.4
ปณภ.กุฉินารายณ์,46110,CEC,088-987-9188,ปข.4
ปณภ.ยางตลาด,46120,CEC,088-987-9189,ปข.4
ปณภ.กมลาไสย,46130,CEC,088-987-9190,ปข.4
ปณภ.สหัสขันธ์,46140,CEC,088-987-9192,ปข.4
ปณภ.สมเด็จ,46150,CEC,088-987-9193,ปข.4
ปณภ.เขาวง,46160,CEC,088-987-9196,ปข.4
ปณภ.ห้วยเม็ก,46170,CEC,088-987-9197,ปข.4
ปณภ.คำม่วง,46180,CEC,088-987-9199,ปข.4
ปณภ.ท่าคันโท,46190,CEC,088-987-9200,ปข.4
ปณภ.ร่องคำ,46210,CEC,088-987-9201,ปข.4
ปณภ.หนองกุงศรี,46220,CEC,088-987-9203,ปข.4
ปณภ.นามน,46230,CEC,088-987-9204,ปข.4
ปณภ.ห้วยผึ้ง,46240,CEC,088-987-9205,ปข.4
ปณภ.นาคู,46250,CEC,088-987-9209,ปข.4
ปข.4 ส่วนควบคุมคุณภาพและดูแลลูกค้า,40000,CEC,088-987-9210,ปข.4
ปณภ.แม่แจ่ม,50270,CEC,088-987-9212,ปข.5
ปจ.เชียงใหม่,50000,CEC,088-987-9213,ปข.5
ปจ.เชียงใหม่,50000,CEC,088-987-9214,ปข.5
ปณภ.ฝาง,50110,CEC,088-987-9216,ปข.5
ปณภ.สันป่าตอง,50120,CEC,088-987-9217,ปข.5
ปณภ.สันกำแพง,50130,CEC,088-987-9219,ปข.5
ปณภ.สารภี,50140,CEC,088-987-9220,ปข.5
ปณภ.แม่แตง,50150,CEC,088-987-9221,ปข.5
ปณภ.จอมทอง,50160,CEC,088-987-9223,ปข.5
ปณภ.เชียงดาว,50170,CEC,088-987-9224,ปข.5
ปณภ.แม่ริม,50180,CEC,088-987-9226,ปข.5
ปณภ.พร้าว,50190,CEC,088-987-9227,ปข.5
ปณภ.ดอยสะเก็ด,50220,CEC,088-987-9236,ปข.5
ปณภ.หางดง,50230,CEC,088-987-9237,ปข.5
ปณภ.ฮอด,50240,CEC,088-987-9245,ปข.5
ปณภ.สะเมิง,50250,CEC,088-987-9246,ปข.5
ปณภ.ดอยเต่า,50260,CEC,088-987-9248,ปข.5
ปณภ.แม่อาย,50280,CEC,088-987-9249,ปข.5
ปณภ.แม่โจ้,50290,CEC,088-987-9250,ปข.5
ปณภ.อมก๋อย,50310,CEC,088-987-9251,ปข.5
ปณภ.ไชยปราการ,50320,CEC,088-987-9252,ปข.5
ปณภ.สันป่ายาง,50330,CEC,088-987-9253,ปข.5
ปณภ.หนองตอง,50340,CEC,088-987-9254,ปข.5
ปณภ.เวียงแหง,50350,CEC,088-987-9255,ปข.5
ปณภ.แม่วาง,50360,CEC,088-987-9259,ปข.5
ปจ.ลำพูน,51000,CEC,088-987-9260,ปข.5
ปจ.ลำพูน,51000,CEC,088-987-9261,ปข.5
ศป.ลำพูน,51010,CEC,088-987-9263,ปข.5
ปณภ.ลี้,51110,CEC,088-987-9264,ปข.5
ปณภ.ป่าซาง,51120,CEC,088-987-9271,ปข.5
ปณภ.บ้านโฮ่ง,51130,CEC,088-987-9272,ปข.5
ปณภ.แม่ทา,51140,CEC,088-987-9273,ปข.5
ปณภ.อุโมงค์,51150,CEC,088-987-9274,ปข.5
ปณภ.ทุ่งหัวช้าง,51160,CEC,088-987-9275,ปข.5
ปณภ.ทากาด,51170,CEC,088-987-9278,ปข.5
ปณภ.บ้านธิ,51180,CEC,088-987-9279,ปข.5
ปจ.ลำปาง,52000,CEC,088-987-9280,ปข.5
